iso_code;location;code_continent;population;surface;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;diabetes_prevalence;smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;cardiovasc_death_rate
NOR;Norway;EU;5421242;374861.15;39.7;16.821;10.813;64800.057;0.2;5.31;20.15;;3.6;82.4;0.957;114.316
OMN;Oman;AS;5106622;340895.99;30.7;2.355;1.53;37960.709;;12.61;8.05;97.4;1.6;77.86;0.813;266.342
PAK;Pakistan;AS;220892331;864302.29;23.5;4.495;2.78;5034.708;4.0;8.35;19.75;59.607;0.6;67.27;0.557;423.031
PSE;Palestine;AS;5101416;6555.38;20.4;3.043;1.726;4449.898;1.0;10.59;;;;74.05;0.708;265.91
PAN;Panama;NA;4314768;78261.07;29.7;7.918;5.03;22267.037;2.2;8.33;6.15;;2.3;78.51;0.815;128.346
PNG;Papua New Guinea;OC;8947027;491055.26;22.6;3.808;2.142;3823.194;;17.65;36.15;;;64.5;0.555;561.494
PRY;Paraguay;SA;7132530;416036.51;26.5;6.378;3.833;8827.01;1.7;8.27;13.3;79.602;1.3;74.25;0.728;199.128
PER;Peru;SA;32971846;1312103.38;29.1;7.151;4.455;12236.706;3.5;5.95;;;1.6;76.74;0.777;85.755
PHL;Philippines;AS;109581085;311422.26;25.2;4.803;2.661;7599.188;;7.07;24.3;78.463;1.0;71.23;0.718;370.437
POL;Poland;EU;37846605;305148.11;41.8;16.763;10.202;27216.445;;5.91;28.2;;6.62;78.73;0.88;227.331
PRT;Portugal;EU;10196707;90741.44;46.2;21.502;14.924;27936.896;0.5;9.85;23.15;;3.39;82.05;0.864;127.842
QAT;Qatar;AS;2881060;12673.91;31.9;1.307;0.617;116935.6;;16.52;13.85;;1.2;80.23;0.848;176.69
