CountryCode;Date;C1_School closing;C2_Workplace closing;C3_Cancel public events;C4_Restrictions on gatherings;C5_Close public transport;C6_Stay at home requirements;C7_Restrictions on internal movement;C8_International travel controls
CUB;2021-01-20;3;3;2;4;2;1;2;2
CUB;2021-01-21;3;3;2;4;2;1;2;2
CUB;2021-01-22;3;3;2;4;2;1;2;2
CUB;2021-01-23;3;3;2;4;2;1;2;2
CUB;2021-01-24;3;3;2;4;2;1;2;2
CUB;2021-01-25;3;3;2;4;2;1;2;2
CUB;2021-01-26;3;3;2;4;2;1;2;2
CUB;2021-01-27;3;3;2;4;2;1;2;2
CUB;2021-01-28;3;3;2;4;2;1;2;2
CUB;2021-01-29;3;3;2;4;2;1;2;2
CUB;2021-01-30;3;3;2;4;2;1;2;2
CUB;2021-01-31;3;3;2;4;2;1;2;2
CUB;2021-02-01;3;3;2;4;2;1;2;2
CUB;2021-02-02;3;3;2;4;2;1;2;2
CUB;2021-02-03;3;3;2;4;2;1;2;2
CUB;2021-02-04;3;3;2;4;2;1;2;2
CUB;2021-02-05;3;3;2;4;2;2;2;2
CUB;2021-02-06;3;3;2;4;2;2;2;2
CUB;2021-02-07;3;3;2;4;2;2;2;2
CUB;2021-02-08;3;3;2;4;2;2;2;2
CUB;2021-02-09;3;3;2;4;2;2;2;2
CUB;2021-02-10;3;3;2;4;2;2;2;2
CUB;2021-02-11;3;3;2;4;2;2;2;2
CUB;2021-02-12;3;3;2;4;2;2;2;2
CUB;2021-02-13;3;3;2;4;2;2;2;2
CUB;2021-02-14;3;3;2;4;2;2;2;2
CUB;2021-02-15;3;3;2;4;2;2;2;2
CUB;2021-02-16;3;3;2;4;2;2;2;2
CUB;2021-02-17;3;3;2;4;2;2;2;2
CUB;2021-02-18;3;3;2;4;2;2;2;2
CUB;2021-02-19;3;3;2;4;2;2;2;2
CUB;2021-02-20;3;3;2;4;2;2;2;2
CUB;2021-02-21;3;3;2;4;2;2;2;2
CUB;2021-02-22;3;3;2;4;2;2;2;2
CUB;2021-02-23;3;3;2;4;2;2;2;2
CUB;2021-02-24;3;3;2;4;2;2;2;2
CUB;2021-02-25;3;3;2;4;2;2;2;2
CUB;2021-02-26;3;3;2;4;2;2;2;2
CUB;2021-02-27;3;3;2;4;2;2;2;2
CUB;2021-02-28;3;3;2;4;2;2;2;2
CUB;2021-03-01;3;3;2;4;2;2;2;2
CUB;2021-03-02;3;3;2;4;2;2;2;2
CUB;2021-03-03;3;3;2;4;2;2;2;2
CUB;2021-03-04;3;3;2;4;2;2;2;2
CUB;2021-03-05;3;3;2;4;2;2;2;2
CUB;2021-03-06;3;3;2;4;2;2;2;2
CUB;2021-03-07;3;3;2;4;2;2;2;2
CUB;2021-03-08;3;3;2;4;2;2;2;2
CUB;2021-03-09;3;3;2;4;2;2;2;2
CUB;2021-03-10;3;3;2;4;2;2;2;2
